Freq(Hz)           Exp.Intens.   Theor.Intens.        Diff.
2013.994863         9408459        16311620        -6903161
2013.971993        16164483        22411857        -6247374
2013.949123        27451919        25474870         1977049
2013.926253        32385820        33379459         -993639
2013.903383        33296106        40854762        -7558656
2013.880513        41468768        41559187          -90419
2013.857643        44914228        43706526         1207702
2013.834773        49302010        54978384        -5676374
2013.811903        55863206        61813333        -5950127
2013.789032        74917384        72022840         2894544
2013.766162        87505477        80287802         7217675
2013.743292        78635679        79876664        -1240985
2013.720422        70324338        74813979        -4489641
2013.697552        66213421        65825256          388165
2013.674682        64175021        63806774          368247
2013.651812        58061516        61735945        -3674429
2013.628942        58468566        62202185        -3733619
2013.606072        62595820        63583935         -988115
2013.583202        59362007        63765327        -4403320
2013.560332        55521175        54414068         1107107
2013.537462        37594811        30722764         6872047
2013.514592        16311947        19311265        -2999318
2013.491722         9211701        15634669        -6422968
2013.468852        10559362        16842673        -6283311
2013.445982        16299865        23491462        -7191597
2013.423111        23825441        27477475        -3652034
2013.400241        29108127        26573286         2534841
2013.377371        27431293        27441875          -10582
2013.354501        22583445        25188378        -2604933
2013.331631        22392463        21581009          811454
2013.308761        16130455        13922472         2207983
2013.285891         8803702        11161508        -2357806
2013.263021         6983724        11754932        -4771208
2013.240151        13729338        16223509        -2494171
2013.217281        24060748        24730605         -669857
2013.194411        26036640        26718737         -682097
2013.171541        27058023        30633076        -3575053
2013.148671        30124432        31404404        -1279972
2013.125801        30787739        31934686        -1146947
2013.102931        31503038        28422736         3080302
2013.080061        30003244        27693929         2309315
2013.057190        28860926        32186137        -3325211
2013.034320        27225079        31375668        -4150589
2013.011450        38539004        38739458         -200454
2012.988580        59319408        61608178        -2288770
2012.965710        69314415        69741000         -426585
2012.942840        66875658        62938716         3936942
2012.919970        49701123        48872800          828323
2012.897100        32650910        38414821        -5763911
2012.874230        33676906        36779319        -3102413
2012.851360        58311854        54486255         3825599
2012.828490        82969019        81750299         1218720
2012.805620        81803568        84679818        -2876250
2012.782750        59506480        62394487        -2888007
2012.759880        31761806        35266433        -3504627
2012.737010        20141775        25336529        -5194754
2012.714140        26028748        26432991         -404243
2012.691269        41976100        39142464         2833636
2012.668399        49543276        50806931        -1263655
2012.645529        48431456        52915187        -4483731
2012.622659        42041882        44644376        -2602494
2012.599789        32441755        35591340        -3149585
2012.576919        23243403        25021712        -1778309
2012.554049        14297616        17889940        -3592324
2012.531179        11656649        17037363        -5380714
2012.508309        17599512        21717586        -4118074
2012.485439        38391863        36355836         2036027
2012.462569        60476259        59963080          513179
2012.439699        63036080        63203504         -167424
2012.416829        49294300        48876590          417710
2012.393959        28986223        30101350        -1115127
2012.371089        19757878        24974306        -5216428
2012.348219        28371481        30995553        -2624072
2012.325348        56850783        53273198         3577585
2012.302478        83595505        81262902         2332603
2012.279608        83536369        82778542          757827
2012.256738        60805875        57898673         2907202
2012.233868        32164931        31645025          519906
2012.210998        18199870        22394955        -4195085
2012.188128        22284904        23518331        -1233427
2012.165258        39902286        35783447         4118839
2012.142388        47519986        44802923         2717063
2012.119518        39658930        41709575        -2050645
2012.096648        25543823        24361577         1182246
2012.073778        12193111        12956142         -763031
2012.050908         7515195         8070212         -555017
2012.028038         5310398         5674250         -363852
2012.005168         4271683         4313557          -41874
2011.982298         2580786         3453348         -872562
2011.959427         2480193         2866142         -385949
2011.936557         3015892         2442071          573821
2011.913687         2666735         2122504          544231
2011.890817         2020466         1873606          146860
2011.867947         2177890         1674598          503292
2011.845077         2042837         1512065          530772
2011.822207         2222629         1376973          845656
2011.799337         2275883         1263033         1012850
2011.776467         1807399         1165732          641667
2011.753597         1224065         1081752          142313
2011.730727          947309         1008602          -61293
2011.707857          940664          944375           -3711
2011.684987          768523          887586         -119063
2011.662117          739494          837065          -97571
2011.639247         1793192          791878         1001314
2011.616377          948871          751268          197603
2011.593506          104493          714617         -610124
2011.570636          114052          681419         -567367
2011.547766          320184          651251         -331067
2011.524896          599402          623760          -24358
2011.502026          808368          598651          209717
2011.479156          516693          575674          -58981
2011.456286          166424          554616         -388192
2011.433416          304092          535298         -231206
2011.410546          395344          517565         -122221
2011.387676          508742          501289            7453
2011.364806          643187          486359          156828
2011.341936          296113          472683         -176570
2011.319066          521934          460183           61751
2011.296196          281932          448796         -166864
2011.273326          183674          438474         -254800
2011.250456          -97160          429180         -526340
2011.227585          268386          420890         -152504
2011.204715          203060          413593         -210533
2011.181845           46222          407292         -361070
2011.158975         -172143          402003         -574146
2011.136105          -85656          397762         -483418
2011.113235          430817          394622           36195
2011.090365          201126          392660         -191534
2011.067495         -729225          391982        -1121207
2011.044625         -345984          392730         -738714
2011.021755          -16370          395092         -411462
2010.998885            5268          399319         -394051
2010.976015          551307          405743          145564
2010.953145          313181          414811         -101630
2010.930275          195151          427129         -231978
2010.907405          467314          443534           23780
2010.884535          181013          465205         -284192
2010.861664          315546          493844         -178298
2010.838794          -55050          531980         -587030
2010.815924          787129          583513          203616
2010.793054          793655          654715          138940
2010.770184          715567          756229          -40662
2010.747314         1221209          907331          313878
2010.724444         1500495         1145954          354541
2010.701574         1443347         1555034         -111687
2010.678704         1451990         2341543         -889553
2010.655834         2994170         4097096        -1102926
2010.632964         7050096         8280371        -1230275
2010.610094        13098343        12674894          423449
2010.587224        12588714        10028494         2560220
2010.564354         7712633         5557852         2154781
2010.541484         3956451         4063991         -107540
2010.518614         3229674         4556828        -1327154
2010.495744         6470457         7534477        -1064020
2010.472873        12076209        12342166         -265957
2010.450003        13462664        11104393         2358271
2010.427133         8380520         5802198         2578322
2010.404263         3880188         3091610          788578
2010.381393         2531231         1968149          563082
2010.358523         2263137         1440007          823130
2010.335653         1836336         1167288          669048
2010.312783         1311244         1025695          285549
2010.289913         1155669          965694          189975
2010.267043         1516624          969653          546971
2010.244173         1227120         1039280          187840
2010.221303         2016608         1196734          819874
2010.198433         2142306         1500770          641536
2010.175563         2372191         2099851          272340
2010.152693         4721490         3408138         1313352
2010.129823         9480780         6604195         2876585
2010.106952        14382071        11940904         2441167
2010.084082        12231757        11808975          422782
2010.061212         6109463         6778842         -669379
2010.038342         3471053         4321378         -850325
2010.015472         3983920         4157630         -173710
2009.992602         8499550         6123083         2376467
2009.969732        14119551        11006540         3113011
2009.946862        13825634        12436430         1389204
2009.923992         7228190         7420800         -192610
2009.901122         2609603         3670252        -1060649
2009.878252         1466095         2113607         -647512
2009.855382         1456599         1395863           60736
2009.832512         1393134         1012040          381094
2009.809642         1360260          782346          577914
2009.786772         1273939          633100          640839
2009.763902         1026976          529975          497001
2009.741031          601487          455267          146220
2009.718161          653334          399086          254248
